"Name","Surname","Country","City","Latitude","Longitude","Booking Number","Flight Number","Travel Class","Travel Time","Distance Travelled","Arrival Time"
"Jessica","Lucas","Wales","Cardiff",51.481312,-3.1805,"BOOK7975","BA873","Business",05:13:02,508.27,08:09:58
"Lisa","Miller","Wales","Cardiff",51.481312,-3.1805,"BOOK3368","BA456","Business",22:48:04,594.66,10:37:26
"Kyle","Salinas","Wales","Cardiff",51.481312,-3.1805,"BOOK9213","BA270","Business",17:04:00,327.06,13:23:14
"Andre","Brown","Scotland","Glasgow",55.834024,-4.253416,"BOOK9575","BA460","First Class",00:54:20,521.23,06:51:08
"Alex","Porter","Wales","Cardiff",51.481312,-3.1805,"BOOK2653","BA298","Economy",17:55:32,463,05:10:44
"Mark","Barker","Scotland","Glasgow",55.834024,-4.253416,"BOOK4920","BA806","Economy",20:36:29,499.88,08:36:55
"Faith","Thompson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7311","BA787","Economy",13:11:18,485.66,06:59:14
"Taylor","Aguilar","Wales","Cardiff",51.481312,-3.1805,"BOOK6443","BA902","Economy",10:51:47,618.98,03:34:11
"Laura","Williams","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7816","BA150","Economy",15:47:17,305.9,19:45:50
"Melissa","Thomas","Wales","Cardiff",51.481312,-3.1805,"BOOK7225","BA977","Business",22:52:33,387.63,11:57:52
"Jordan","Allen","Scotland","Glasgow",55.834024,-4.253416,"BOOK6016","BA900","Economy",22:42:22,434.21,15:45:41
"Juan","Velasquez","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6075","BA730","First Class",17:52:31,336.45,22:03:34
"Tina","Phillips","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8997","BA994","First Class",04:15:49,608.05,22:25:26
"Kristen","Mitchell","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4689","BA240","First Class",21:07:06,473.72,17:04:15
"William","Davis","England","London",51.507351,-0.127758,"BOOK4445","BA345","Economy",22:43:34,479.02,09:50:10
"Peter","Weaver","Wales","Cardiff",51.481312,-3.1805,"BOOK6483","BA158","Business",11:45:57,605.92,15:14:59
"David","Reynolds","England","London",51.507351,-0.127758,"BOOK5479","BA128","First Class",22:53:56,499.15,08:56:17
"Oscar","White","Scotland","Glasgow",55.834024,-4.253416,"BOOK1416","BA978","Economy",19:36:00,321.99,01:11:12
"Timothy","Wong","Wales","Cardiff",51.481312,-3.1805,"BOOK6325","BA159","Business",12:20:55,318.33,13:19:12
"James","Bowen","Wales","Cardiff",51.481312,-3.1805,"BOOK6274","BA226","First Class",06:54:10,574.92,22:26:50
"Kimberly","Mendez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6800","BA583","First Class",08:26:22,562.11,11:46:08
"Carolyn","Johnson","England","London",51.507351,-0.127758,"BOOK1156","BA568","Economy",21:00:27,528.4,08:05:28
"Brittany","Thomas","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8949","BA620","Economy",18:11:25,677.7,19:27:39
"April","Hopkins","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK1761","BA725","Business",06:01:22,552.68,13:31:10
"Kendra","Wilson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4256","BA473","Business",17:20:31,521.73,20:52:59
"Natalie","Ramos","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6493","BA396","First Class",03:26:19,476.64,06:27:37
"Heather","Hull","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK1444","BA259","Business",05:28:05,315.49,16:56:01
"Kristen","Morton","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK5717","BA974","First Class",14:58:18,575.24,06:09:22
"Miguel","Simmons","Wales","Cardiff",51.481312,-3.1805,"BOOK3689","BA964","Business",14:34:07,668.38,20:22:20
"Zachary","Howell","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK2731","BA283","First Class",14:03:11,553.97,07:30:51
"Paul","Morris","Scotland","Glasgow",55.834024,-4.253416,"BOOK6162","BA208","Economy",23:02:58,658.66,12:49:53
"Henry","Williams","Scotland","Glasgow",55.834024,-4.253416,"BOOK5446","BA936","First Class",11:58:01,506.81,23:16:06
"Crystal","Underwood","England","London",51.507351,-0.127758,"BOOK1571","BA191","First Class",02:48:09,544.58,05:24:24
"Steven","Lawson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7529","BA608","Business",16:17:44,507.84,06:37:51
"Carol","White","Wales","Cardiff",51.481312,-3.1805,"BOOK8237","BA746","Economy",01:47:43,623.19,11:13:58
"Michael","Wise","England","London",51.507351,-0.127758,"BOOK6870","BA471","Economy",08:21:27,489.28,08:00:38
"Thomas","Jones","Scotland","Glasgow",55.834024,-4.253416,"BOOK3057","BA998","Business",10:43:24,407.79,14:56:43
"Angela","York","England","London",51.507351,-0.127758,"BOOK3404","BA206","Economy",02:40:16,499.07,11:01:40
"Thomas","Atkins","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1385","BA693","Economy",21:17:25,345.16,02:01:17
"Kim","Smith","Scotland","Glasgow",55.834024,-4.253416,"BOOK2350","BA124","Business",08:42:57,542.72,07:08:47
"Christina","Watson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3224","BA560","First Class",16:22:44,461,05:48:46
"Warren","Martinez","Wales","Cardiff",51.481312,-3.1805,"BOOK4250","BA556","Economy",00:34:56,606.1,13:09:00
"Theresa","Fox","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6061","BA919","Economy",18:29:28,399.19,14:11:00
"Joshua","Garcia","Wales","Cardiff",51.481312,-3.1805,"BOOK1641","BA141","First Class",14:37:26,553.76,16:51:14
"Thomas","Bennett","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK9676","BA237","First Class",10:36:00,375.46,19:12:39
"Kendra","Jones","Wales","Cardiff",51.481312,-3.1805,"BOOK9845","BA291","Business",02:09:56,532.17,00:31:38
"Michael","Alvarez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK5431","BA327","Business",00:53:10,273.79,09:20:29
"Joy","Fletcher","Scotland","Glasgow",55.834024,-4.253416,"BOOK6648","BA930","Economy",01:01:20,622.13,01:35:27
"Tony","Simpson","Wales","Cardiff",51.481312,-3.1805,"BOOK7294","BA522","Business",00:02:32,580.38,19:10:25
"Jaime","Perry","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK9987","BA721","First Class",10:05:53,587.96,10:22:12
"Gabriella","Green","England","London",51.507351,-0.127758,"BOOK9445","BA773","Economy",11:46:52,606.2,06:59:49
"Sean","Hayes","England","London",51.507351,-0.127758,"BOOK5251","BA645","First Class",21:06:49,322.84,01:19:11
"John","Long","Scotland","Glasgow",55.834024,-4.253416,"BOOK4529","BA214","Economy",22:50:57,799.45,16:33:56
"Brandi","Griffin","Wales","Cardiff",51.481312,-3.1805,"BOOK9612","BA384","First Class",09:27:58,404.64,16:05:24
"Madison","Murray","Wales","Cardiff",51.481312,-3.1805,"BOOK2696","BA906","Business",10:49:04,399.34,02:36:34
"Amanda","Hernandez","Scotland","Glasgow",55.834024,-4.253416,"BOOK5800","BA895","Economy",21:09:45,469.12,19:56:21
"Tamara","Harris","England","London",51.507351,-0.127758,"BOOK5624","BA935","Business",21:32:42,431.2,23:12:37
"Stephanie","Durham","Scotland","Edinburgh",55.953251,-3.188267,"BOOK5837","BA703","Economy",06:52:43,538.05,06:53:10
"Teresa","Mason","England","London",51.507351,-0.127758,"BOOK3603","BA965","First Class",09:59:17,757.05,16:37:23
"Andrew","Anderson","Wales","Cardiff",51.481312,-3.1805,"BOOK1481","BA115","First Class",00:52:30,544.58,09:59:24
"Kimberly","Walker","England","London",51.507351,-0.127758,"BOOK9460","BA759","Economy",10:28:55,411.98,13:25:12
"Jeffery","Allen","Scotland","Edinburgh",55.953251,-3.188267,"BOOK7636","BA861","Economy",07:37:34,493.16,08:11:43
"James","Johnson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK9664","BA930","First Class",08:21:20,321.67,13:16:47
"Paula","Cruz","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK9942","BA119","First Class",12:02:09,405.09,05:12:37
"Clifford","Ponce","England","London",51.507351,-0.127758,"BOOK7943","BA449","Economy",00:30:04,500.95,02:45:25
"Mary","Wilson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK4433","BA621","First Class",16:57:09,868.37,10:26:34
"Derek","Rivera","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7642","BA232","Business",20:22:33,538.96,23:07:33
"Debra","Martinez","Scotland","Edinburgh",55.953251,-3.188267,"BOOK7900","BA345","Economy",03:54:58,455.04,09:59:33
"Marie","Hernandez","Scotland","Edinburgh",55.953251,-3.188267,"BOOK2448","BA261","Business",08:40:17,267.91,23:03:51
"Jessica","Cruz","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6512","BA975","First Class",01:52:14,199.98,00:37:12
"Susan","Hansen","Scotland","Edinburgh",55.953251,-3.188267,"BOOK3724","BA746","Economy",18:03:22,580.88,12:48:01
"Anthony","Whitehead","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9977","BA973","Economy",03:59:26,472.57,07:53:20
"John","Johnson","Wales","Cardiff",51.481312,-3.1805,"BOOK9432","BA224","Business",19:20:36,427.35,22:28:20
"Douglas","Richardson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK5781","BA896","First Class",05:46:20,610.12,09:41:01
"Michael","Hill","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6299","BA584","Business",01:44:47,388.7,05:34:54
"Katelyn","Hernandez","England","London",51.507351,-0.127758,"BOOK4770","BA523","Economy",18:09:41,312.15,17:30:24
"Gina","Martinez","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6049","BA773","Economy",17:11:01,479.4,21:54:34
"Austin","Hansen","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7982","BA745","First Class",02:23:08,646.99,16:49:06
"Nicole","Mcintyre","England","London",51.507351,-0.127758,"BOOK3538","BA796","Business",13:10:17,610.21,06:16:41
"Marcus","Edwards","England","London",51.507351,-0.127758,"BOOK9553","BA666","First Class",06:51:55,332.01,12:15:58
"Nichole","Padilla","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4002","BA333","First Class",20:04:24,442.18,11:09:17
"Edward","Raymond","Wales","Cardiff",51.481312,-3.1805,"BOOK5349","BA866","Business",22:33:52,535.07,14:09:22
"John","Morse","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8184","BA990","First Class",08:34:24,334.41,04:03:16
"Elijah","Robertson","Wales","Cardiff",51.481312,-3.1805,"BOOK4574","BA101","Economy",04:29:32,439.57,05:12:48
"Jake","Vega","Wales","Cardiff",51.481312,-3.1805,"BOOK4804","BA782","Economy",05:35:39,375.57,02:10:29
"Joseph","Gray","Wales","Cardiff",51.481312,-3.1805,"BOOK3056","BA665","Business",00:37:22,536.52,23:38:32
"Michael","Brown","Scotland","Edinburgh",55.953251,-3.188267,"BOOK3348","BA158","Business",02:47:25,526.33,06:53:32
"Kenneth","Ramirez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6580","BA982","Economy",10:00:57,525.26,13:20:03
"Stephanie","Butler","England","London",51.507351,-0.127758,"BOOK2216","BA637","First Class",16:00:28,448.7,07:16:13
"Abigail","Maynard","England","London",51.507351,-0.127758,"BOOK5006","BA530","Economy",12:04:52,649.08,20:53:51
"Teresa","Phelps","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9157","BA240","Economy",13:59:15,497.5,11:44:28
"Robert","Cooley","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7859","BA241","First Class",23:22:32,576.56,00:44:52
"Heather","Stephens","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8976","BA375","Economy",23:39:21,363.3,21:32:02
"Rebecca","Ray","England","London",51.507351,-0.127758,"BOOK1419","BA509","First Class",23:44:38,436.82,05:00:04
"Tammy","King","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK2084","BA681","First Class",18:24:24,646.66,01:38:30
"Kevin","Maldonado","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK5581","BA230","First Class",04:55:49,560.28,06:37:01
"Daniel","Gonzalez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK1036","BA242","First Class",23:38:40,387.83,09:17:46
"Eileen","Jensen","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9522","BA605","Economy",07:56:13,402.23,23:09:02
"Sheila","Stokes","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4018","BA200","Economy",01:35:21,267.48,04:35:37
"Alyssa","Mitchell","England","London",51.507351,-0.127758,"BOOK3224","BA691","Economy",22:00:09,565.42,13:16:28
"David","Harper","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4526","BA111","First Class",21:12:02,674.1,13:12:07
"Christina","Greer","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6762","BA295","Business",06:38:00,360.35,01:43:39
"Mark","Yu","Wales","Cardiff",51.481312,-3.1805,"BOOK2920","BA651","Business",01:33:50,414.35,06:14:17
"Cynthia","Carlson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6437","BA406","Business",23:53:12,728.16,16:19:32
"Sabrina","Marks","Wales","Cardiff",51.481312,-3.1805,"BOOK4442","BA842","Economy",01:49:49,595.88,09:05:47
"James","Gordon","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9758","BA310","First Class",11:09:33,561.08,13:14:18
"Frank","Harrison","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8624","BA315","Business",03:36:37,376.07,14:01:56
"Barbara","Nelson","England","London",51.507351,-0.127758,"BOOK6913","BA968","Economy",23:30:17,563.03,15:33:16
"Luis","Hall","England","London",51.507351,-0.127758,"BOOK6264","BA938","Economy",15:22:11,761.91,02:01:14
"Christopher","Rios","Wales","Cardiff",51.481312,-3.1805,"BOOK5560","BA661","First Class",09:10:57,281.17,03:30:44
"Nathan","Marshall","England","London",51.507351,-0.127758,"BOOK8139","BA527","Economy",15:42:32,521.6,00:28:33
"Cynthia","Knox","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3677","BA988","Economy",07:43:32,428.15,20:28:55
"Cynthia","Lewis","Scotland","Edinburgh",55.953251,-3.188267,"BOOK6604","BA294","Economy",10:51:22,424.12,16:44:53
"Angela","Chavez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7649","BA655","First Class",13:04:59,340.04,22:39:55
"Ryan","King","Wales","Cardiff",51.481312,-3.1805,"BOOK3710","BA346","First Class",08:23:52,430.48,06:22:51
"Mallory","Conley","Scotland","Edinburgh",55.953251,-3.188267,"BOOK7840","BA203","Business",07:47:26,535.73,09:01:47
"Kelly","Vincent","England","London",51.507351,-0.127758,"BOOK6265","BA613","First Class",07:45:16,537.86,11:18:46
"Felicia","Massey","Scotland","Edinburgh",55.953251,-3.188267,"BOOK7857","BA393","Economy",17:33:47,384.2,16:32:52
"George","Rogers","England","London",51.507351,-0.127758,"BOOK7584","BA428","Business",15:06:59,425.23,05:56:42
"Christine","Shaffer","England","London",51.507351,-0.127758,"BOOK2295","BA505","Economy",17:58:00,413.31,16:15:20
"Robin","Hall","England","London",51.507351,-0.127758,"BOOK8342","BA969","Economy",15:38:40,573.67,12:14:30
"John","Johnson","England","London",51.507351,-0.127758,"BOOK6354","BA421","Economy",21:14:25,468.82,20:35:18
"Jonathan","Hardy","Wales","Cardiff",51.481312,-3.1805,"BOOK5406","BA506","First Class",13:41:14,307.58,09:11:14
"Sherri","Johnson","Wales","Cardiff",51.481312,-3.1805,"BOOK9847","BA947","Economy",05:56:31,543.03,22:57:15
"Ricky","Beasley","Wales","Cardiff",51.481312,-3.1805,"BOOK3760","BA899","Economy",23:44:07,377.06,13:32:33
"Angela","Gordon","England","London",51.507351,-0.127758,"BOOK9780","BA737","First Class",08:04:41,474.66,23:11:15
"Billy","Waters","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK1726","BA508","First Class",10:12:13,462.7,14:34:08
"Greg","Powell","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3989","BA811","Economy",23:12:55,378.08,17:04:55
"Katrina","Jackson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK5529","BA856","Business",10:59:54,353.12,09:26:33
"Paul","Barker","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8911","BA142","First Class",07:06:33,678.68,12:16:37
"Ashley","Shea","Wales","Cardiff",51.481312,-3.1805,"BOOK6371","BA572","Economy",09:36:14,337.88,20:33:13
"Nicholas","Jenkins","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1118","BA534","First Class",15:18:24,413.05,01:35:35
"Joseph","Lewis","Scotland","Edinburgh",55.953251,-3.188267,"BOOK4660","BA964","Economy",15:27:30,537.45,16:46:34
"Christina","Parrish","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6628","BA481","Business",19:13:48,650.07,10:39:09
"Thomas","Austin","England","London",51.507351,-0.127758,"BOOK8260","BA603","Business",04:42:13,447.77,14:55:43
"James","Ramos","England","London",51.507351,-0.127758,"BOOK4494","BA510","Business",04:53:09,428.22,20:32:59
"Melody","Mcpherson","Wales","Cardiff",51.481312,-3.1805,"BOOK5899","BA442","First Class",09:16:22,571.3,22:58:27
"Vincent","Townsend","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6376","BA730","Business",06:48:09,598.81,17:40:17
"Rebecca","Smith","Wales","Cardiff",51.481312,-3.1805,"BOOK3547","BA316","Business",18:53:31,464.43,00:26:50
"Lori","Simpson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9422","BA252","First Class",20:40:31,548.58,20:32:50
"Jonathan","Gibson","Wales","Cardiff",51.481312,-3.1805,"BOOK3382","BA622","Business",13:58:36,555.53,20:32:10
"Juan","Hampton","England","London",51.507351,-0.127758,"BOOK8560","BA401","First Class",19:14:22,420.32,21:15:32
"Crystal","Mcdowell","Wales","Cardiff",51.481312,-3.1805,"BOOK5141","BA359","Business",02:26:06,485.91,05:30:08
"Anthony","Powers","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6555","BA678","First Class",14:28:38,667.16,10:54:14
"Robert","Gallegos","England","London",51.507351,-0.127758,"BOOK7233","BA642","Business",13:31:08,436.57,06:56:20
"Alicia","Barrett","England","London",51.507351,-0.127758,"BOOK9864","BA419","Business",11:07:44,605.13,04:59:47
"Christina","Short","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6139","BA954","Economy",06:20:24,366.7,12:52:59
"Elizabeth","Watson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK7367","BA447","Economy",12:05:29,512.55,05:24:16
"James","Bell","England","London",51.507351,-0.127758,"BOOK8281","BA902","Economy",15:48:00,392.75,13:47:06
"David","Dominguez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3773","BA245","Business",01:32:30,507.19,01:26:31
"Holly","Perry","England","London",51.507351,-0.127758,"BOOK1563","BA873","Economy",21:11:18,263.17,17:33:18
"Amy","Stevenson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK5488","BA456","Business",09:05:38,546.53,17:11:44
"Evan","Smith","Wales","Cardiff",51.481312,-3.1805,"BOOK2027","BA270","First Class",09:25:33,476.93,02:16:56
"Derek","Sutton","England","London",51.507351,-0.127758,"BOOK9605","BA460","First Class",14:58:12,610.24,07:30:33
"Derek","Savage","England","London",51.507351,-0.127758,"BOOK9394","BA298","Business",22:45:04,553.98,04:56:03
"Tiffany","Wheeler","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4218","BA806","Business",10:07:00,488.58,00:54:07
"Joseph","Ward","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8096","BA787","Economy",03:37:25,489.47,01:01:53
"Bryan","Boyd","Wales","Cardiff",51.481312,-3.1805,"BOOK7713","BA902","First Class",12:26:54,414.86,08:01:37
"Jeremiah","Johnson","Wales","Cardiff",51.481312,-3.1805,"BOOK8945","BA150","Economy",18:23:14,537.75,19:27:54
"Justin","Rice","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1638","BA977","First Class",08:06:52,442.08,02:57:13
"Elizabeth","Griffin","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1023","BA900","First Class",13:07:12,552.21,22:26:22
"Alexis","Landry","England","London",51.507351,-0.127758,"BOOK9720","BA730","Business",23:05:03,436.77,04:14:53
"Jeffery","Franklin","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8815","BA994","First Class",03:18:57,509.58,01:48:51
"Sherry","Herrera","Scotland","Edinburgh",55.953251,-3.188267,"BOOK9766","BA240","Economy",07:03:18,321.25,08:06:13
"Carla","Alvarado","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK4356","BA345","Economy",22:18:55,358.43,23:09:32
"Mark","Lin","England","London",51.507351,-0.127758,"BOOK3567","BA158","Economy",09:32:10,781.42,04:46:13
"Elizabeth","Johnson","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3028","BA128","Business",20:16:10,478.79,00:41:14
"Franklin","Liu","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8267","BA978","First Class",16:10:51,553.82,22:15:02
"Maria","Watkins","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK5964","BA159","Economy",21:16:03,590.39,19:35:46
"Shaun","Koch","Wales","Cardiff",51.481312,-3.1805,"BOOK2489","BA226","First Class",11:42:55,678.37,08:20:59
"Tiffany","Mcdonald","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8354","BA583","Economy",21:03:23,631.44,12:08:13
"Richard","Richard","Scotland","Edinburgh",55.953251,-3.188267,"BOOK1447","BA568","Business",22:46:17,605.19,12:23:26
"Valerie","Johnson","Scotland","Edinburgh",55.953251,-3.188267,"BOOK3889","BA620","First Class",21:06:59,479.91,00:23:40
"Rebekah","Levine","England","London",51.507351,-0.127758,"BOOK7482","BA725","First Class",13:23:40,394.1,07:24:44
"Joshua","Richards","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK3872","BA473","Economy",16:07:06,542.89,13:38:42
"Katelyn","Thomas","Wales","Cardiff",51.481312,-3.1805,"BOOK1675","BA396","Economy",19:22:30,395.13,12:09:43
"Wendy","Curtis","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK2496","BA259","First Class",09:37:29,511.87,11:25:11
"Anne","Meadows","Wales","Cardiff",51.481312,-3.1805,"BOOK5271","BA974","Economy",09:08:03,459.22,22:43:49
"Olivia","Castillo","Scotland","Edinburgh",55.953251,-3.188267,"BOOK8765","BA964","Business",06:01:35,551.23,00:44:01
"Mario","Flores","England","London",51.507351,-0.127758,"BOOK9555","BA283","Business",01:49:32,705.32,11:50:48
"Gregory","Carter","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK8297","BA208","Business",05:58:20,484.8,14:17:49
"Heather","Evans","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK9792","BA936","Business",14:18:44,535.72,10:30:31
"Tim","Green","England","London",51.507351,-0.127758,"BOOK3654","BA191","Economy",16:45:54,479.73,20:06:39
"Brian","King","England","London",51.507351,-0.127758,"BOOK7960","BA608","First Class",19:13:53,574.12,12:45:03
"Russell","Patterson","Wales","Cardiff",51.481312,-3.1805,"BOOK2304","BA746","Business",18:00:11,463.79,13:33:34
"Jacob","Rogers","England","London",51.507351,-0.127758,"BOOK3320","BA471","First Class",11:19:03,503.85,01:41:10
"Chad","Ramirez","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK6941","BA998","First Class",01:29:47,640.85,10:53:19
"Nicole","Smith","Northern Ireland","Belfast",54.597286,-5.93012,"BOOK2767","BA206","First Class",17:04:51,568.64,16:21:15
"Karen","Lee","England","London",51.507351,-0.127758,"BOOK6353","BA693","First Class",01:26:43,724.29,02:45:09
